PARTY,Member for Falkirk West,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Conservative and Unionist Party,Scottish Green Party,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Labour,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish Liberal Democrats,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish National Party,Scottish Socialist Party
VOTE,"Canavan, Dennis","Aitken, Bill","Davidson, Mr David","Douglas-Hamilton, Lord James","Fergusson, Alex","Fraser, Murdo","Gallie, Phil","Goldie, Annabel","Harding, Mr Keith","Johnston, Nick","Johnstone, Alex","McGrigor, Jamie","McIntosh, Mrs Lyndsay","McLetchie, David","Monteith, Mr Brian","Mundell, David","Scanlon, Mary","Scott, John","Tosh, Murray","Wallace, Ben","Young, John","Harper, Robin","Alexander, Ms Wendy","Baillie, Jackie","Barrie, Scott","Boyack, Sarah","Brankin, Rhona","Butler, Bill","Chisholm, Malcolm","Craigie, Cathie","Curran, Margaret","Deacon, Susan","Dewar, Donald","Eadie, Helen","Ferguson, Patricia","Fitzpatrick, Brian","Galbraith, Mr Sam","Gillon, Karen","Godman, Trish","Grant, Rhoda","Gray, Iain","Henry, Hugh","Home Robertson, John","Hughes, Janis","Jackson, Dr Sylvia","Jackson, Gordon","Jamieson, Cathy","Jamieson, Margaret","Kerr, Andy","Lamont, Johann","Livingstone, Marilyn","MacKay, Angus","Macdonald, Lewis","Macintosh, Ken","Maclean, Kate","Macmillan, Maureen","Martin, Paul","McAllion, Mr John","McAveety, Mr Frank","McCabe, Tom","McConnell, Jack","McLeish, Henry","McMahon, Michael","McNeil, Duncan","McNeill, Pauline","McNulty, Des","Morrison, Mr Alasdair","Muldoon, Bristow","Mulligan, Mary","Murray, Elaine","Oldfather, Irene","Peacock, Peter","Peattie, Cathy","Simpson, Dr Richard","Smith, Elaine","Thomson, Elaine","Watson, Mike","Welsh, Ian","Whitefield, Karen","Wilson, Allan","Brown, Robert","Finnie, Ross","Gorrie, Donald","Jenkins, Ian","Lyon, George","Munro, John Farquhar","Radcliffe, Nora","Raffan, Mr Keith","Robson, Euan","Rumbles, Mike","Scott, Tavish","Smith, Iain","Smith, Margaret","Steel, Sir David","Stephen, Nicol","Stone, Jamie","Wallace, Mr Jim","Adam, Brian","Campbell, Colin","Crawford, Bruce","Cunningham, Roseanna","Elder, Dorothy-Grace","Ewing, Dr Winnie","Ewing, Fergus","Ewing, Mrs Margaret","Fabiani, Linda","Gibson, Kenneth","Grahame, Christine","Hamilton, Mr Duncan","Hyslop, Fiona","Ingram, Adam","Lochhead, Richard","MacAskill, Kenny","MacDonald, Margo","Marwick, Tricia","Matheson, Michael","McGugan, Irene","McLeod, Fiona","Morgan, Alasdair","Neil, Alex","Paterson, Gil","Quinan, Mr Lloyd","Reid, Mr George","Robison, Shona","Russell, Michael","Salmond, Alex","Stevenson, Stewart","Sturgeon, Nicola","Swinney, John","Ullrich, Kay","Welsh, Andrew","White, Sandra","Wilson, Andrew","Sheridan, Tommy"
S1M-1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,-1,1,1,-1,0,0,0,0,0,-1,0,0,1,1,0,0,1,-1,1,1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,0,0,0,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,0,-1,1,0,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,0,-1,1,1,1,1,-1,1,1,1,1,0,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,0,1,1,-1,1,0,1,1,0,1,1,-1,1,1,1,0
S1M-4.1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
S1M-4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
S1M-4,-1,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1
S1M-5,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,-1,0,0,-1,1,0,-1,-1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0
S1M-17,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
S1M-29,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,0
S1M-19.2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
S1M-40.1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
S1M-40.2,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
